list_name,name,label
yk45i75,room_temp,Room Temperature
yk45i75,elevated_temp,Elevated Temperature
fz2pa27,celsius,Celsius
fz2pa27,kelvin,Kelvin
yh3pr64,constant,Constant
yh3pr64,stepping,Stepping
yh3pr64,static,Static
yh3pr64,quasistatic,QuasiStatic
ze9wx62,pa,Pa
ze9wx62,kpa,kPa
ze9wx62,mpa,MPa
ze9wx62,gpa,GPa
ze9wx62,bar,bar
ze9wx62,kbar,kbar
qs8tg01,dry,Dry
qs8tg01,wet,Wet
lr3gm28,super_critical,Super Critical
lr3gm28,liquid,Liquid
lr3gm28,gas,Gas
lr3gm28,solid,Solid
cc35a87,drained,Drained
cc35a87,undrained,Undrained
xo17m36,axial_strain,Axial Strain
ya5mn23,differential_s,Differential Stress
si9ao54,option_1,Pa
si9ao54,option_2,kPa
si9ao54,mpa,MPa
si9ao54,gpa,GPa
si9ao54,n_m_2,N/m^2
si9ao54,kn_mm_2,kN/mm^2
oj4wz46,creep,Creep
oj4wz46,stress_rate,Stress Rate
oj4wz46,displace_rate,Displacement Rate
