type,name,label,required,relevant,calculation
start,start,,,,
end,end,,,,
select_multiple ji0rg23,strength,Strength,false,,
begin_group,group_vb4hi60,Group,,,
select_multiple jk9hb34,strength_measurements,Strength Measurements,false,,
decimal,compressive_strength,Compressive Strength,false,,
select_one ec7he07,compressive_strength_unit,Compressive Strength Unit,false,,
decimal,yield_strength,Yield Strength,false,"selected(${strength_measurements}, 'yield_strength')",
select_one ec7he07,yield_strength_unit,Yield Strength Unit,false,"selected(${strength_measurements}, 'yield_strength')",
decimal,flow_strength,Flow Strength,false,"selected(${strength_measurements}, 'flow_strength')",
select_one ec7he07,flow_strength_unit,Flow Strength Unit,false,"selected(${strength_measurements}, 'flow_strength')",
decimal,fracture_strength,Fracture Strength,false,"selected(${strength_measurements}, 'fracture_stren')",
select_one ec7he07,fracture_strength_unit,Fracture Strength Unit,false,"selected(${strength_measurements}, 'fracture_stren')",
end_group,,,,,
select_one fj8co57,strength_is,Strength is ,false,,
select_multiple ej9uh22,phase_transition,Phase Transition,false,,
text,phase_transition_notes,Phase Transition Notes,false,,
text,grain_size,Grain Size,false,,
select_multiple cj9wh19,damage,Damage,false,,
text,_micro_crack_fracture_notes,(micro)Crack/Fracture Notes,false,,
text,brittle_failure_notes,Brittle Failure Notes,false,"selected(${damage}, 'brittle')",
text,ductile_notes,Ductile Notes,false,"selected(${damage}, 'ductile')",
text,brittle_ductile_notes,Brittle-Ductile Notes,false,"selected(${damage}, 'brittle_ductil')",
text,cataclastic_notes,Cataclastic Notes,false,"selected(${damage}, 'cataclastic')",
text,brittle_plastic_notes,Brittle-Plastic Notes,false,"selected(${damage}, 'brittle_plasti')",
text,brittle_viscous_notes,Brittle-Viscous Notes,false,"selected(${damage}, 'brittle_viscou')",
text,plastic_notes,Plastic Notes,false,"selected(${damage}, 'plastic')",
text,deformation_band_notes,Deformation Band Notes,false,"selected(${damage}, 'deformation_ba')",
text,pressure_dissolution_notes,Pressure Dissolution Notes,false,,
text,stress_corrosion_notes,Stress Corrosion Notes,false,,
note,grain_size_link_note_link,Grain Size Link *NOTE LINK*,false,,
calculate,__version__,,,,'vpQZ7qpwQnVxCYoEMdKwi3'
