list_name,name,label,order
jt6by54,cm,cm,
jt6by54,m,m,1
jt6by54,in,in,2
jt6by54,ft,ft,3
vq5ai01,bed,bed,
vq5ai01,interbedded,interbedded,1
vq5ai01,package_succe,package (succession of beds),2
vq5ai01,cover,cover,3
wc2ju40,1_least_resist,1 - least resistant,
wc2ju40,2,2,
wc2ju40,3_mod_resistan,3 - moderately resistant,
wc2ju40,4,4,
wc2ju40,5_most_resista,5 - most resistant,
kq9qb39,lithified,lithified,
kq9qb39,poorly_lithifi,poorly lithified,
kq9qb39,unlithified_un,unlithified/unconsolidated,
kq9qb39,metamorphosed,metamorphosed,
js5zp52,AUTOMATIC,siliciclastic,
js5zp52,wackestone,limestone,
js5zp52,packstone,dolomite,
js5zp52,option_4,evaporite,
js5zp52,chert,chert,
js5zp52,ironstone,ironstone,
js5zp52,phosphatic,phosphatic,
js5zp52,volcaniclastic,volcaniclastic,
js5zp52,organic_coal,organic/coal,
js5zp52,other,other,
qf3ff03,mudstone,mudstone,
qf3ff03,wackestone,wackestone,
qf3ff03,packstone,packstone,
qf3ff03,grainstone,grainstone,
qf3ff03,boundstone,boundstone,
qf3ff03,cementstone,cementstone,
qf3ff03,recrystallized,recrystallized,
qf3ff03,floatstone,floatstone,
qf3ff03,rudstone,rudstone,
qf3ff03,framestone,framestone,
qf3ff03,bafflestone,bafflestone,
qf3ff03,bindstone,bindstone,
cv5pj14,mudstone,mudstone,
cv5pj14,wackestone,wackestone,
cv5pj14,packstone,packstone,
cv5pj14,grainstone,grainstone,
cv5pj14,boundstone,boundstone,
cv5pj14,cementstone,cementstone,
cv5pj14,recrystallized,recrystallized,
cv5pj14,floatstone,floatstone,
cv5pj14,rudstone,rudstone,
cv5pj14,framestone,framestone,
cv5pj14,bafflestone,bafflestone,
cv5pj14,bindstone,bindstone,
mj2lc26,skeletal,skeletal,
mj2lc26,mud,mud,
mj2lc26,cement,cement,
mj2lc26,intraclast,intraclast,
mj2lc26,ooid,ooid,
mj2lc26,peloid,peloid,
mj2lc26,pellet,pellet,
mj2lc26,oncoid,oncoid,
mj2lc26,pisoid,pisoid,
mj2lc26,coated_grain,coated grain,
mj2lc26,grapestone,grapestone,
mj2lc26,stromatolite,stromatolite,
mj2lc26,thrombolite,thrombolite,
mj2lc26,dendrolite,dendrolite,
mj2lc26,leiolite,leiolite,
mj2lc26,giant_ooid,giant ooid,
mj2lc26,seafloor_precipitate,seafloor precipitate,
mj2lc26,molar_tooth,molar tooth,
mj2lc26,other,other,
zo49i95,sandstone,sandstone,
zo49i95,siltstone,siltstone,1
zo49i95,shale,shale,2
zo49i95,mudstone,mudstone,3
zo49i95,claystone,claystone,4
zo49i95,conglomerate,conglomerate,5
zo49i95,breccia,breccia,6
yv8kw79,dott,dott,
yv8kw79,folk_mcbride,folk/mcbride,
uh8oy57,quartz_arenite,quartz arenite,
uh8oy57,arkosic_arenit,feldspathic arenite,
uh8oy57,subarkose_aren,subarkose arenite,
uh8oy57,lithic_arenite,lithic arenite,
uh8oy57,sublitharenite,sublitharenite,
uh8oy57,quartz_wacke,quartz wacke,
uh8oy57,lithic_wacke,lithic wacke,
uh8oy57,feldspathic_wa,feldspathic wacke,
vw5id84,quartzarenite,quartzarenite,
vw5id84,subarkose,subarkose,
vw5id84,sublitharenite,sublitharenite,
vw5id84,arkose,arkose,
vw5id84,lithic_arkose,lithic arkose,
vw5id84,arkosic_lithar,arkosic litharenite,
vw5id84,litharenite,litharenite,
cv9qv11,rip_up_clasts,rip-up clasts,
cv9qv11,wood,wood,
cv9qv11,fossils,fossils,
cv9qv11,other,other,
kg6zo76,siliceous_muds,siliceous mudstone,
kg6zo76,siliceous_calc,siliceous calcareous mudstone,
kg6zo76,siliceous_volc,siliceous volcaniclastic mudstone,
kg6zo76,calcareous_mud,calcareous mudstone,
kg6zo76,black_shale,black shale,
kg6zo76,red_clay,red clay,
kg6zo76,red_mudstone,red mudstone,
kg6zo76,variegated_mud,variegated mudstone,
kg6zo76,marl,marl,
kg6zo76,sarl,sarl,
kg6zo76,argillaceous_m,argillaceous mudstone,
ih44p58,intraformation,intraformational,
ih44p58,extraformation,extraformational,
ih44p58,monomictic,monomictic,
ih44p58,oligomictic,oligomictic,
ih44p58,polymictic,polymictic,
uz9ix58,intrusive_igneous,intrusive igneous,
uz9ix58,extrusive_igneous,extrusive igneous,1
uz9ix58,metamorphic,metamorphic,2
uz9ix58,mudstone,mudstone,3
uz9ix58,siltstone,siltstone,4
uz9ix58,sandstone,sandstone,5
uz9ix58,conglomerate,conglomerate,6
uz9ix58,limestone,limestone,7
uz9ix58,dolomite,dolomite,8
uz9ix58,skeletal,skeletal,9
uz9ix58,wackestone,wackestone,10
uz9ix58,packstone,packstone,11
uz9ix58,grainstone,grainstone,12
uz9ix58,boundstone,boundstone,13
uz9ix58,intraformational,intraformational,14
uz9ix58,extraformational,extraformational,15
uz9ix58,mono_oligomictic,mono/oligomictic,16
uz9ix58,option_19,polymictic,17
uz9ix58,other,other,18
co1jf03,intrusive_igneous,intrusive igneous,
co1jf03,extrusive_igneous,extrusive igneous,
co1jf03,metamorphic,metamorphic,
co1jf03,mudstone,mudstone,
co1jf03,siltstone,siltstone,
co1jf03,sandstone,sandstone,
co1jf03,conglomerate,conglomerate,
co1jf03,limestone,limestone,
co1jf03,dolomite,dolomite,
co1jf03,skeletal,skeletal,
co1jf03,wackestone,wackestone,
co1jf03,packstone,packstone,
co1jf03,grainstone,grainstone,
co1jf03,boundstone,boundstone,
co1jf03,intraformational,intraformational,
co1jf03,extraformational,extraformational,
co1jf03,other,other,
so29n97,glass,glass,
so29n97,crystals,crystals,
so29n97,lithic_fragments,lithic fragments,
so29n97,volcanic_mudstone,volcanic mudstone,
so29n97,volcanic_sandstone,volcanic sandstone,
so29n97,lapillistone,lapillistone,
so29n97,agglomerate,agglomerate,
so29n97,volcanic_breccia,volcanic breccia,
so29n97,bentonite,bentonite,
so29n97,tuff,tuff,
so29n97,welded_tuff,welded tuff,
so29n97,ignimbrite,ignimbrite,
so29n97,other,other,
gg6bk97,gypsum___anhyd,gypsum — anhydrite primary,
gg6bk97,gypsum___anhyd_1,gypsum — anhydrite diagenetic,
gg6bk97,halite___prima,halite — primary,
gg6bk97,halite___diage,halite — diagenetic,
gg6bk97,phosphorite,phosphorite,
el5ss78,bedded,bedded,
el5ss78,laminated,laminated,
el5ss78,bottom_growth_,bottom growth (point up crystals),
el5ss78,cumulates__ran,cumulates (random),
el5ss78,ropy,ropy,
el5ss78,molds,molds,
el5ss78,macroscopic_cr,macroscopic crystals,
el5ss78,microcrystalli,microcrystalline,
el5ss78,fibrous,fibrous,
el5ss78,pseudomorph_st,pseudomorph structures,
el5ss78,imprints_on_be,imprints on bedding planes,
wy2is73,nodular_to_chi,nodular to chicken wire,
wy2is73,option_2,displacive (random crystals),
wy2is73,veins_or_yug_f,"veins or yug fills (fibrous, lath, amorphous textures)",
wy2is73,nodules,nodules,
wy2is73,cement,cement,
wy2is73,pseudomorphs,pseudomorphs,
wy2is73,deformation_st,deformation structures,
la9sa83,cubic_crystals,cubic crystals,
la9sa83,hopper_crystal,hopper crystals,
la9sa83,chevrons__bott,chevrons (bottom growth vertical orientation),
la9sa83,random_cumulat,random cumulates,
dv3xg82,cements,cements,
dv3xg82,displacive_cry,displacive crystals,
dv3xg82,recrystallized,recrystallized,
dv3xg82,deformation_st,deformation structure,
mo7ce83,nodular,nodular,
mo7ce83,bedded,bedded,
mo7ce83,massive,massive,
om8xr30,amber,amber,
om8xr30,peat,peat,
om8xr30,lignite,lignite,
om8xr30,subbituminous,subbituminous,
om8xr30,bituminous,bituminous,
om8xr30,coal_ball,coal ball,
om8xr30,tar,tar,
yf18f03,quartz,quartz,
yf18f03,mica,mica,
yf18f03,glauconite,glauconite,
yf18f03,feldspar,feldspar,
yf18f03,clay,clay,
yf18f03,lithics,lithics,
yf18f03,rip_up_clasts,rip-up clasts,
yf18f03,heavy_minerals,heavy minerals,
yf18f03,pyrite,pyrite,
yf18f03,gypsum,gypsum,
yf18f03,halite,halite,
yf18f03,chert,chert,
yf18f03,hematite,hematite,
yf18f03,limonite,limonite,
yf18f03,goethite,goethite,
yf18f03,magnetite,magnetite,
yf18f03,calcite,calcite,
yf18f03,dolomite,dolomite,
yf18f03,oragonite,aragonite,
yf18f03,siderite,siderite,
yf18f03,ankerite,ankerite,
yf18f03,apatite,apatite,
yf18f03,zeolites,zeolites,
yf18f03,organics,organics,
yf18f03,coalified_wood,coalified wood,
yf18f03,illite,illite,
yf18f03,bentonite,bentonite,
yf18f03,smectite,smectite,
yf18f03,chlorite,chlorite,
yf18f03,kaolinite,kaolinite,
yf18f03,other,other,
ve4gq38,no_bedding_or_laminae,no bedding or laminae,
ve4gq38,stratified,stratified laminae,
ve4gq38,option_3,stratified bedding,
lt4wq55,very_thin___0_,very thin (< 0.1 cm),
lt4wq55,thin__3_10_cm,thin (3-10 cm),
lt4wq55,medium__10_30_,medium (10-30 cm),
lt4wq55,thick_30_100_c,thick (30-100 cm),
lt4wq55,very_thick__10,very thick (>100 cm),
se2xd36,discontinuous,discontinuous,
se2xd36,planar,planar,
se2xd36,wavy,wavy,
se2xd36,irregular,irregular,
se2xd36,tufted,tufted,
se2xd36,crinkly,crinkly,
se2xd36,pustular,pustular,
se2xd36,wedge,wedge,
se2xd36,sand_stringers,sand stringers,
ht51j49,very_thin___0_,very thin (< 0.1 cm),
ht51j49,thin__3_10_cm,thin (3-10 cm),
ht51j49,medium__10_30_,medium (10-30 cm),
ht51j49,thick_30_100_c,thick(30-100 cm),
ht51j49,very_thick__10,very thick (>100 cm),
ht51j49,thins_upwards,thins upwards,
ht51j49,thickens_upwar,thickens upwards,
co9mo61,discontinuous,tabular/parallel,
co9mo61,planar,discontinuous,
co9mo61,wavy,lenticular,
co9mo61,irregular,channel-like,
co9mo61,tufted,wedge,
co9mo61,wavy_1,wavy,
co9mo61,chaotic,chaotic,
co9mo61,nodular,nodular,
wj4dz28,discontinuous,discontinuous,
wj4dz28,tabular_parall,tabular/parallel,
wj4dz28,lenticular,lenticular,
wj4dz28,channel_like,channel-like,
wj4dz28,wedge,wedge,
mb8sm92,meter_scale,meter-scale,
mb8sm92,tens_of_meters,tens of meters,
mb8sm92,hundreds_of_me,hundreds of meters,
mb8sm92,kilometer_scal,kilometer-scale,
mf0hv76,upward_thinning,upward thinning,
mf0hv76,upward_thickening,upward thickening,1
mf0hv76,uniform__no_trend,uniform (no trend),2
mf0hv76,other,other,3
mf0hv76,can_t_be_determined,can't be determined,4
nt45h93,flat,flat,
nt45h93,undulatory,undulatory,
nt45h93,curved,curved,
nt45h93,concave_up,concave up,
nt45h93,concave_down,concave down,
nt45h93,irregular,irregular,
nt45h93,covered,covered,
